ScenarioGroup,PVPenetrationPercent,IrradianceCondition,ControlStrategy,TimeIndex,Time_h,Bus,LocalVoltage_pu,Pavailable_kW,Poutput_kW,Pcurtailed_kW,Qoutput_kVAr,Qlimit_kVAr,VoltVARActive,VoltWattActive,BothActive
stress,80,stress_clear_sky,hybrid_pso,12,11,33,1.01754211401662,594.4,445.096889369389,149.303110630611,-138.438003780473,478.952507743402,1,1,1
stress,80,stress_clear_sky,hybrid_pso,13,12,30,1.01315392241762,495.333333333333,443.300483742618,52.0328495907152,-12.5306373415998,316.803354713938,1,1,1
stress,80,stress_clear_sky,hybrid_pso,13,12,31,1.01659798168386,495.333333333333,386.487580976503,108.84575235683,-90.3329442148816,384.066445026607,1,1,1
stress,80,stress_clear_sky,hybrid_pso,13,12,32,1.01724143407569,544.866666666667,413.465421102515,131.401245564152,-117.969026688698,433.90179042071,1,1,1
stress,80,stress_clear_sky,hybrid_pso,13,12,33,1.01758619378815,594.4,444.222716207401,150.177283792598,-139.880063108042,479.763404195566,1,1,1
stress,80,stress_clear_sky,hybrid_pso,14,13,30,1.01315392241762,495.333333333333,443.300483742618,52.0328495907152,-12.5306373415998,316.803354713938,1,1,1
stress,80,stress_clear_sky,hybrid_pso,14,13,31,1.01659798168386,495.333333333333,386.487580976503,108.84575235683,-90.3329442148816,384.066445026607,1,1,1
stress,80,stress_clear_sky,hybrid_pso,14,13,32,1.01724143407569,544.866666666667,413.465421102515,131.401245564152,-117.969026688698,433.90179042071,1,1,1
stress,80,stress_clear_sky,hybrid_pso,14,13,33,1.01758619378815,594.4,444.222716207401,150.177283792598,-139.880063108042,479.763404195566,1,1,1
stress,80,stress_clear_sky,hybrid_pso,15,14,30,1.01307404968685,495.333333333333,444.622541118401,50.7107922149325,-11.0349813528517,314.945202176284,1,1,1
stress,80,stress_clear_sky,hybrid_pso,15,14,31,1.01654256753848,495.333333333333,387.402499926349,107.930833406984,-88.9050461375964,383.143559903151,1,1,1
stress,80,stress_clear_sky,hybrid_pso,15,14,32,1.0171920140435,544.866666666667,414.363450732258,130.503215934408,-116.514389504024,433.044280501467,1,1,1
stress,80,stress_clear_sky,hybrid_pso,15,14,33,1.01754211401662,594.4,445.096889369389,149.303110630611,-138.438003780473,478.952507743402,1,1,1
stress,80,stress_clear_sky,hybrid_pso,16,15,31,1.01208306229621,338.322636922839,314.960237088204,23.362399834635,-0.310575255079781,444.611890864141,0,1,0
stress,80,stress_clear_sky,hybrid_pso,16,15,32,1.01289559748889,372.154900615122,336.476376953851,35.6785236612717,-12.0259886018117,495.992001880865,1,1,1
stress,80,stress_clear_sky,hybrid_pso,16,15,33,1.0134228233545,405.987164307406,359.993848371993,45.9933159354131,-29.5257591958187,545.812398846272,1,1,1
stress,100,stress_clear_sky,voltwatt,10,9,32,1.0301006339868,465.193625768903,464.156028258468,1.03759751043471,0,588.087863192314,0,1,0
stress,100,stress_clear_sky,voltwatt,10,9,33,1.03099758772667,507.483955384258,498.703187415765,8.78076796849312,0,647.51403140114,0,1,0
stress,100,stress_clear_sky,voltwatt,11,10,30,1.03452212387275,619.166666666666,568.426761362496,50.7399053041701,0,375.187318430925,0,1,0
stress,100,stress_clear_sky,voltwatt,11,10,31,1.04168832913597,619.166666666666,488.922618751346,130.24404791532,0,474.161554554743,0,1,0
stress,100,stress_clear_sky,voltwatt,11,10,32,1.04326007797543,681.083333333333,518.623935883947,162.459397449386,0,540.663820253419,0,1,0
stress,100,stress_clear_sky,voltwatt,11,10,33,1.04425676705016,743,552.496005081096,190.503994918904,0,602.268589891113,0,1,0
stress,100,stress_clear_sky,voltwatt,12,11,30,1.03474531347303,619.166666666666,565.942134081265,53.2245325854019,0,378.924804962658,0,1,0
stress,100,stress_clear_sky,voltwatt,12,11,31,1.04189382688893,619.166666666666,486.632190191899,132.534476474768,0,476.511928930935,0,1,0
stress,100,stress_clear_sky,voltwatt,12,11,32,1.04346162231724,681.083333333333,516.152267384442,164.931065948891,0,543.023931587437,0,1,0
stress,100,stress_clear_sky,voltwatt,12,11,33,1.0444545424261,743,549.849517527083,193.150482472917,0,604.685701894161,0,1,0
stress,100,stress_clear_sky,voltwatt,13,12,30,1.0348893732884,619.166666666666,564.338408028599,54.8282586380676,0,381.309150386128,0,1,0
stress,100,stress_clear_sky,voltwatt,13,12,31,1.04202647501465,619.166666666666,485.153726182374,134.012940484292,0,478.017121990209,0,1,0
